DateTime,Building P (kW) 
2020-03-27 04:09:00,274.4
2020-03-27 04:10:00,289.4
2020-03-27 04:11:00,295.4
2020-03-27 04:12:00,293.4
2020-03-27 04:13:00,279.2
2020-03-27 04:14:00,276.2
2020-03-27 04:15:00,290.2
2020-03-27 04:16:00,301.3
2020-03-27 04:17:00,281.4
2020-03-27 04:18:00,283.4
2020-03-27 04:19:00,288.4
2020-03-27 04:20:00,290.4
2020-03-27 04:21:00,271.4
2020-03-27 04:22:00,262.4
2020-03-27 04:23:00,246.4
2020-03-27 04:24:00,252.4
2020-03-27 04:25:00,267.4
2020-03-27 04:26:00,285.4
2020-03-27 04:27:00,297.4
2020-03-27 04:28:00,283.4
2020-03-27 04:29:00,272.4
2020-03-27 04:30:00,256.4
2020-03-27 04:31:00,251.4
2020-03-27 04:32:00,236.4
2020-03-27 04:33:00,227.4
2020-03-27 04:34:00,257.4
2020-03-27 04:35:00,286.4
2020-03-27 04:36:00,309.4
2020-03-27 04:37:00,305.4
2020-03-27 04:38:00,295.4
2020-03-27 04:39:00,289.4
2020-03-27 04:40:00,285.4
2020-03-27 04:41:00,289.4
2020-03-27 04:42:00,292.4
2020-03-27 04:43:00,312.4
2020-03-27 04:44:00,325.4
2020-03-27 04:45:00,297.4
2020-03-27 04:46:00,278.4
2020-03-27 04:47:00,281.4
2020-03-27 04:48:00,298.4
2020-03-27 04:49:00,306.4
2020-03-27 04:50:00,311.4
2020-03-27 04:51:00,306.4
2020-03-27 04:52:00,295.4
2020-03-27 04:53:00,291.4
2020-03-27 04:54:00,298.4
2020-03-27 04:55:00,285.4
2020-03-27 04:56:00,281.4
2020-03-27 04:57:00,271.3
2020-03-27 04:58:00,267.2
2020-03-27 04:59:00,275.2
2020-03-27 05:00:00,318.2
2020-03-27 05:01:00,327.4
2020-03-27 05:02:00,336.4
2020-03-27 05:03:00,346.4
2020-03-27 05:04:00,346.4
2020-03-27 05:05:00,344.4
2020-03-27 05:06:00,342.4
2020-03-27 05:07:00,336.4
2020-03-27 05:08:00,350.4
2020-03-27 05:09:00,367.4
2020-03-27 05:10:00,398.4
2020-03-27 05:11:00,393.4
2020-03-27 05:12:00,372.4
2020-03-27 05:13:00,344.4
2020-03-27 05:14:00,353.4
2020-03-27 05:15:00,375.4
2020-03-27 05:16:00,395.4
2020-03-27 05:17:00,396.4
2020-03-27 05:18:00,379.4
2020-03-27 05:19:00,348.5
2020-03-27 05:20:00,326.4
2020-03-27 05:21:00,330.4
2020-03-27 05:22:00,341.4
2020-03-27 05:23:00,354.5
2020-03-27 05:24:00,356.4
2020-03-27 05:25:00,340.5
2020-03-27 05:26:00,329.4
2020-03-27 05:27:00,321.5
2020-03-27 05:28:00,336.5
2020-03-27 05:29:00,325.5
2020-03-27 05:30:00,321.5
2020-03-27 05:31:00,344.5
2020-03-27 05:32:00,358.5
2020-03-27 05:33:00,353.5
2020-03-27 05:34:00,363.5
2020-03-27 05:35:00,336.5
2020-03-27 05:36:00,341.5
2020-03-27 05:37:00,357.5
2020-03-27 05:38:00,356.5
2020-03-27 05:39:00,337.5
2020-03-27 05:40:00,323.5
2020-03-27 05:41:00,339.5
2020-03-27 05:42:00,348.4
2020-03-27 05:43:00,358.3
2020-03-27 05:44:00,356.3
2020-03-27 05:45:00,353.3
2020-03-27 05:46:00,338.3
2020-03-27 05:47:00,321.5
2020-03-27 05:48:00,316.5
2020-03-27 05:49:00,311.5
2020-03-27 05:50:00,307.4
2020-03-27 05:51:00,327.4
