sep=,
"Time","P","Q"
2020-01-30 11:05:00,229,743
2020-01-30 11:10:00,291,743
2020-01-30 11:15:00,286,749
2020-01-30 11:20:00,262,750
2020-01-30 11:25:00,259,751
2020-01-30 11:30:00,297,749
2020-01-30 11:35:00,429,736
2020-01-30 11:40:00,440,728
2020-01-30 11:45:00,526,740
2020-01-30 11:50:00,470,739
2020-01-30 11:55:00,456,755
2020-01-30 12:00:00,563,752
2020-01-30 12:05:00,572,746
2020-01-30 12:10:00,569,749
2020-01-30 12:15:00,596,749
2020-01-30 12:20:00,543,759
2020-01-30 12:25:00,596,742
2020-01-30 12:30:00,576,757
2020-01-30 12:35:00,629,762
2020-01-30 12:40:00,608,769
2020-01-30 12:45:00,634,749
2020-01-30 12:50:00,581,760
2020-01-30 12:55:00,563,759
2020-01-30 13:00:00,635,765
2020-01-30 13:05:00,635,764
2020-01-30 13:10:00,577,745
2020-01-30 13:15:00,553,738
2020-01-30 13:20:00,594,740
2020-01-30 13:25:00,613,743
2020-01-30 13:30:00,532,757
2020-01-30 13:35:00,621,744
2020-01-30 13:40:00,600,745
2020-01-30 13:45:00,619,739
2020-01-30 13:50:00,591,752
2020-01-30 13:55:00,533,760
2020-01-30 14:00:00,528,754
2020-01-30 14:05:00,534,751
2020-01-30 14:10:00,389,749
2020-01-30 14:15:00,212,756
2020-01-30 14:20:00,477,771
2020-01-30 14:25:00,558,770
2020-01-30 14:30:00,451,767
2020-01-30 14:35:00,512,762
2020-01-30 14:40:00,413,768
2020-01-30 14:45:00,506,776
2020-01-30 14:50:00,482,770
2020-01-30 14:55:00,575,768
2020-01-30 15:00:00,573,759
2020-01-30 15:05:00,663,765
2020-01-30 15:10:00,577,777
2020-01-30 15:15:00,666,763
2020-01-30 15:20:00,615,768
2020-01-30 15:25:00,651,760
2020-01-30 15:30:00,589,781
2020-01-30 15:35:00,684,781
2020-01-30 15:40:00,641,782
2020-01-30 15:45:00,646,768
2020-01-30 15:50:00,624,756
2020-01-30 15:55:00,597,774
2020-01-30 16:00:00,677,741
2020-01-30 16:05:00,711,761
2020-01-30 16:10:00,600,758
2020-01-30 16:15:00,670,761
2020-01-30 16:20:00,708,752
2020-01-30 16:25:00,688,763
2020-01-30 16:30:00,673,750
2020-01-30 16:35:00,715,768
2020-01-30 16:40:00,722,765
2020-01-30 16:45:00,616,767
2020-01-30 16:50:00,727,758
2020-01-30 16:55:00,655,766
2020-01-30 17:00:00,752,746
2020-01-30 17:05:00,699,776
2020-01-30 17:10:00,754,763
2020-01-30 17:15:00,722,764
2020-01-30 17:20:00,728,764
2020-01-30 17:25:00,727,764
2020-01-30 17:30:00,687,750
2020-01-30 17:35:00,653,777
2020-01-30 17:40:00,706,766
2020-01-30 17:45:00,700,784
2020-01-30 17:50:00,742,764
2020-01-30 17:55:00,690,770
2020-01-30 18:00:00,717,766
2020-01-30 18:05:00,685,752
2020-01-30 18:10:00,687,750
2020-01-30 18:15:00,611,752
2020-01-30 18:20:00,724,754
2020-01-30 18:25:00,671,761
2020-01-30 18:30:00,689,746
2020-01-30 18:35:00,710,741
2020-01-30 18:40:00,735,758
2020-01-30 18:45:00,674,749
2020-01-30 18:50:00,702,757
2020-01-30 18:55:00,710,755
2020-01-30 19:00:00,697,743
2020-01-30 19:05:00,672,754
2020-01-30 19:10:00,733,737
2020-01-30 19:15:00,587,761
2020-01-30 19:20:00,655,744
2020-01-30 19:25:00,637,741
2020-01-30 19:30:00,614,753
2020-01-30 19:35:00,581,749
2020-01-30 19:40:00,642,742
2020-01-30 19:45:00,615,758
2020-01-30 19:50:00,641,745
2020-01-30 19:55:00,569,756
2020-01-30 20:00:00,654,744
2020-01-30 20:05:00,652,753
2020-01-30 20:10:00,648,754
2020-01-30 20:15:00,647,748
