MST,Avg Wind Speed @ 50m [m/s]
2016-12-24 08:24:00,2.4
2016-12-24 08:25:00,2.84
2016-12-24 08:26:00,3.0
2016-12-24 08:27:00,2.6
2016-12-24 08:28:00,2.17
2016-12-24 08:29:00,2.06
2016-12-24 08:30:00,2.11
2016-12-24 08:31:00,2.31
2016-12-24 08:32:00,2.17
2016-12-24 08:33:00,1.88
2016-12-24 08:34:00,1.18
2016-12-24 08:35:00,0.73
2016-12-24 08:36:00,0.59
2016-12-24 08:37:00,1.34
2016-12-24 08:38:00,1.72
2016-12-24 08:39:00,1.86
2016-12-24 08:40:00,1.95
2016-12-24 08:41:00,1.8
2016-12-24 08:42:00,1.27
2016-12-24 08:43:00,1.78
2016-12-24 08:44:00,2.23
2016-12-24 08:45:00,2.35
2016-12-24 08:46:00,2.29
2016-12-24 08:47:00,2.31
2016-12-24 08:48:00,2.0
2016-12-24 08:49:00,1.92
2016-12-24 08:50:00,1.74
2016-12-24 08:51:00,1.4
2016-12-24 08:52:00,0.96
2016-12-24 08:53:00,1.3
2016-12-24 08:54:00,1.38
2016-12-24 08:55:00,1.9
2016-12-24 08:56:00,1.52
2016-12-24 08:57:00,1.4
2016-12-24 08:58:00,1.55
2016-12-24 08:59:00,1.7
2016-12-24 09:00:00,1.76
2016-12-24 09:01:00,1.54
2016-12-24 09:02:00,1.71
2016-12-24 09:03:00,1.82
2016-12-24 09:04:00,1.72
2016-12-24 09:05:00,1.69
2016-12-24 09:06:00,1.32
2016-12-24 09:07:00,1.53
2016-12-24 09:08:00,1.21
2016-12-24 09:09:00,1.13
2016-12-24 09:10:00,0.64
2016-12-24 09:11:00,0.44
2016-12-24 09:12:00,0.34
2016-12-24 09:13:00,0.34
2016-12-24 09:14:00,0.34
2016-12-24 09:15:00,0.38
2016-12-24 09:16:00,1.01
2016-12-24 09:17:00,1.29
2016-12-24 09:18:00,1.18
2016-12-24 09:19:00,0.53
2016-12-24 09:20:00,0.42
2016-12-24 09:21:00,0.67
2016-12-24 09:22:00,1.07
2016-12-24 09:23:00,0.93
2016-12-24 09:24:00,0.99
2016-12-24 09:25:00,0.93
2016-12-24 09:26:00,0.88
2016-12-24 09:27:00,0.97
2016-12-24 09:28:00,0.59
2016-12-24 09:29:00,0.34
2016-12-24 09:30:00,0.34
2016-12-24 09:31:00,0.38
2016-12-24 09:32:00,0.41
2016-12-24 09:33:00,0.57
2016-12-24 09:34:00,0.66
2016-12-24 09:35:00,0.38
2016-12-24 09:36:00,0.37
2016-12-24 09:37:00,0.37
2016-12-24 09:38:00,1.19
2016-12-24 09:39:00,1.17
2016-12-24 09:40:00,0.91
2016-12-24 09:41:00,0.47
2016-12-24 09:42:00,0.48
2016-12-24 09:43:00,1.12
2016-12-24 09:44:00,0.73
2016-12-24 09:45:00,0.89
2016-12-24 09:46:00,1.7
2016-12-24 09:47:00,1.38
2016-12-24 09:48:00,0.82
2016-12-24 09:49:00,0.87
2016-12-24 09:50:00,1.05
2016-12-24 09:51:00,1.91
2016-12-24 09:52:00,2.07
2016-12-24 09:53:00,1.22
2016-12-24 09:54:00,0.5
2016-12-24 09:55:00,0.75
2016-12-24 09:56:00,0.63
2016-12-24 09:57:00,1.18
2016-12-24 09:58:00,0.62
2016-12-24 09:59:00,0.37
2016-12-24 10:00:00,0.75
2016-12-24 10:01:00,0.82
2016-12-24 10:02:00,0.64
2016-12-24 10:03:00,0.93
2016-12-24 10:04:00,1.32
