Time (s),P (kW),Q (kW)
54133,325.5432105,143.5776742
54134,323.0940017,138.8109528
54135,323.4021236,146.8875959
54136,326.0528482,145.7071658
54137,323.5634778,144.8118271
54138,322.3594358,144.755409
54139,323.8224074,144.980305
54140,321.1325822,144.4944333
54141,306.5448423,138.9537918
54142,308.7741734,138.2387579
54143,305.2071302,134.353008
54144,305.3745567,139.800432
54145,309.2511038,140.4569793
54146,304.8648852,140.3798203
54147,304.2512414,137.8743696
54148,303.6308911,139.6730563
54149,303.0342218,142.9012613
54150,302.8906312,139.5381608
54151,303.0253095,146.1327331
54152,302.5930511,144.4552558
54153,302.165483,137.9399642
54154,308.2571114,140.6661779
54155,301.8822645,141.7629258
54156,301.7481672,142.9565584
54157,310.6312619,142.5748749
54158,303.6684988,144.4868984
54159,303.9728617,142.5380409
54160,303.9787599,145.4203865
54161,303.6170706,145.9551806
54162,304.1769531,139.6343037
54163,302.9055445,142.8655102
54164,303.3335175,142.0947105
54165,302.9186707,146.2862096
54166,303.1007728,139.0851797
54167,303.2597238,142.65604
54168,303.4056826,142.6377633
54169,311.1483552,141.7489227
54170,303.3615106,143.6988305
54171,303.0473729,137.7765121
54172,310.8338227,140.506695
54173,302.2169388,137.8834619
54174,301.7287523,139.7971762
54175,302.1492511,153.5090243
54176,301.8946983,146.1058622
54177,302.0829041,144.0159048
54178,303.1117185,148.879476
54179,303.8190709,143.8631352
54180,304.7242348,146.5687764
54181,305.7618876,146.5196474
54182,307.1982392,143.593621
54183,308.332127,139.5124042
54184,308.3515235,139.3179425
54185,309.7028697,144.4227055
54186,309.867111,136.5298935
54187,310.7922557,149.6965326
54188,311.1695924,142.0215465
54189,311.9092015,135.6414277
54190,313.9788564,141.2191285
54191,313.6051657,137.0628134
54192,314.2309272,131.4044557
54193,311.0446554,137.3603877
54194,310.6907304,137.2972719
54195,311.3131146,143.8731594
54196,273.8672837,116.2946904
54197,273.6560097,113.2452528
54198,273.452506,115.6949662
54199,273.9471276,116.8045083
54200,273.7614335,119.5641363
54201,270.6612758,117.4333946
54202,269.2948401,119.5379296
54203,268.9499701,119.0841389
54204,268.7248869,112.7266419
54205,268.80777,114.1420791
54206,268.9010747,120.2740016
54207,269.2349665,116.3804484
54208,269.4507941,117.290387
54209,269.6239531,116.0543945
54210,269.8064598,114.2436836
54211,270.0899573,111.1779886
54212,269.8104763,111.0981669
54213,270.371086,116.1521598
54214,270.3631841,112.941001
54215,271.012719,113.4503663
54216,271.2923534,117.1006008
54217,271.4289238,118.0074838
54218,271.4618312,113.9165258
54219,272.0068015,117.5142166
54220,272.3044961,115.1931058
54221,273.175867,115.9039607
54222,273.5904421,118.6726785
54223,273.6427003,107.5552148
54224,273.8517927,118.1980418
54225,274.0711108,124.2203496
54226,274.3286804,122.9171758
54227,274.693213,126.6090621
54228,274.8557787,122.9396218
54229,272.6263693,110.7157674
54230,273.972028,124.1193502
54231,273.7492444,126.204869
54232,274.8305234,121.4185
54233,275.9776263,119.0052403
54234,277.0690117,117.6445566
54235,278.2904873,114.22838
54236,279.7498742,116.1941973
54237,280.4413389,107.3121852
54238,280.8214064,110.2598304
54239,281.546804,107.8833816
54240,281.8900811,101.8746004
54241,282.3603672,105.6054484
54242,281.8322655,102.7897058
54243,282.9160101,99.28360675
54244,281.8368283,99.821477
54245,281.1133331,109.2212181
54246,279.563193,103.9042504
54247,277.9815595,107.0674831
54248,276.7417912,107.6899493
54249,274.7168541,106.9237953
54250,274.0835027,113.8253813
54251,272.8641248,110.9012221
54252,272.0188506,110.2837282
54253,271.7088657,112.570268
54254,271.056499,111.3521617
54255,270.8758069,110.7906543
54256,270.9497537,112.5602639
54257,270.7274755,109.6240119
54258,270.1195034,116.1473419
54259,268.0347641,113.6673401
54260,270.4140766,111.4913662
54261,268.2041205,107.943577
54262,260.3523749,115.2306828
54263,261.8295354,117.4307434
54264,261.4775715,111.8618823
54265,260.3656476,110.5958912
54266,261.4806991,112.447256
54267,261.4049681,114.2109049
54268,259.9583023,112.0734024
54269,261.6797588,114.244817
54270,318.3150845,209.335908
54271,293.2660129,132.821011
54272,295.6624533,132.6541235
54273,300.1353044,135.526981
54274,300.488105,134.0043358
54275,303.3829161,133.6349577
54276,303.9704606,134.3659978
54277,300.7651261,134.2957084
54278,303.6950504,132.5936357
54279,298.7051608,128.7466972
54280,300.9354578,133.7478633
54281,301.5163689,128.3399054
54282,301.7404464,130.6027362
54283,302.1964535,128.5672987
54284,302.2373352,135.3667273
54285,302.2698022,135.0395811
54286,301.9899449,128.7068742
54287,301.434894,128.7149441
54288,301.0388843,136.1856652
54289,296.2459008,130.839024
54290,295.3988211,127.7393485
54291,296.0314018,133.5748501
54292,294.7121404,128.8369972
54293,294.3918281,132.0431912
54294,294.3872209,134.9157596
54295,293.6912013,130.855117
54296,294.4825402,130.8074921
54297,292.8555282,130.152114
54298,293.5322144,133.824607
54299,292.7488171,136.3707794
54300,292.6633946,129.9896329
54301,292.5085401,130.9827836
54302,293.3716407,139.0019068
54303,293.1762988,134.3343885
54304,293.5276003,128.3218226
54305,293.3212477,140.0433745
54306,294.3987997,133.3574308
54307,293.3352687,127.8254873
54308,292.888161,137.1736905
54309,292.4765468,138.3018927
54310,292.3433651,131.764015
54311,291.5876117,134.7207614
54312,290.9647389,141.892167
54313,290.8481896,129.8800354
54314,290.207849,130.3862748
54315,290.3114143,136.6939911
54316,290.7084523,139.2455754
54317,292.3623016,136.6645169
54318,291.3558178,141.3177844
54319,292.1881756,132.208618
54320,292.8427149,126.3703365
54321,293.6214485,133.3040445
54322,294.6006162,132.2174084
54323,295.0667951,135.0910366
54324,295.6781195,134.1832886
54325,295.8671609,133.4947856
54326,295.6152266,135.193303
54327,295.5756725,137.3329326
54328,295.7172908,134.1594028
54329,295.9363398,134.8553455
54330,296.2485499,136.3017862
54331,296.7744328,135.0127933
54332,298.9000401,133.3316973
54333,298.6538224,130.1212829
54334,299.4191271,130.7495816
54335,299.8756842,132.5535469
54336,300.4714251,130.4669143
54337,301.1550262,130.2104444
54338,301.5310968,130.9942065
54339,302.5513974,128.0556794
54340,302.3563706,127.7641702
54341,302.6305172,127.9880444
54342,302.193746,134.2959018
54343,301.4150359,130.8010978
54344,300.8165532,128.0550149
54345,300.3110609,130.7047899
54346,299.5521349,130.1936302
54347,299.258502,130.7230124
54348,298.5234565,130.4904229
54349,296.4808301,132.5482622
54350,297.5803638,128.6398065
54351,297.5292391,134.9595116
54352,295.9938,131.5656649
54353,296.4433032,128.736448
54354,296.7004419,131.0002587
54355,297.796915,135.253038
54356,297.8811485,134.7619416
54357,297.4611971,131.49041
54358,297.8463985,135.9122396
